text,href
汉元帝,/wiki/%E6%B1%89%E5%85%83%E5%B8%9D
明武宗,/wiki/%E6%98%8E%E6%AD%A6%E5%AE%97
孙皓,/wiki/%E5%AD%99%E7%9A%93
魏宣武帝,/wiki/%E9%AD%8F%E5%AE%A3%E6%AD%A6%E5%B8%9D
东魏孝静帝,/wiki/%E9%AD%8F%E5%AD%9D%E9%9D%99%E5%B8%9D
明昭宗,/wiki/%E6%B0%B8%E5%8E%86%E5%B8%9D
王莽,/wiki/%E7%8E%8B%E8%8E%BD
曹芳,/wiki/%E6%9B%B9%E8%8A%B3
刘晟,/wiki/%E5%8A%89%E6%99%9F_(%E5%8D%97%E6%BC%A2)
金熙宗,/wiki/%E9%87%91%E7%86%99%E5%AE%97
宋哲宗,/wiki/%E5%AE%8B%E5%93%B2%E5%AE%97
唐僖宗,/wiki/%E5%94%90%E5%83%96%E5%AE%97
唐宪宗,/wiki/%E5%94%90%E5%AE%AA%E5%AE%97
李煜,/wiki/%E6%9D%8E%E7%85%9C
武则天,/wiki/%E6%AD%A6%E5%89%87%E5%A4%A9
魏明元帝,/wiki/%E9%AD%8F%E6%98%8E%E5%85%83%E5%B8%9D
北汉睿宗,/wiki/%E5%8C%97%E6%B1%89%E7%9D%BF%E5%AE%97
隋明帝,/wiki/%E9%9A%8B%E6%98%8E%E5%B8%9D
石虎,/wiki/%E7%9F%B3%E8%99%8E
唐懿宗,/wiki/%E5%94%90%E6%87%BF%E5%AE%97
石勒,/wiki/%E7%9F%B3%E5%8B%92
清穆宗,/wiki/%E6%B8%85%E7%A9%86%E5%AE%97
辽景宗,/wiki/%E8%BE%BD%E6%99%AF%E5%AE%97
汉昭帝,/wiki/%E6%B1%89%E6%98%AD%E5%B8%9D
唐宣宗,/wiki/%E5%94%90%E5%AE%A3%E5%AE%97
唐文宗,/wiki/%E5%94%90%E6%96%87%E5%AE%97
魏孝明帝,/wiki/%E9%AD%8F%E5%AD%9D%E6%98%8E%E5%B8%9D
吕光,/wiki/%E5%90%95%E5%85%89
清世宗,/wiki/%E6%B8%85%E4%B8%96%E5%AE%97
魏文成帝,/wiki/%E9%AD%8F%E6%96%87%E6%88%90%E5%B8%9D
汉章帝,/wiki/%E6%B1%89%E7%AB%A0%E5%B8%9D
魏明帝,/wiki/%E9%AD%8F%E6%98%8E%E5%B8%9D
刘𬬮,/wiki/%E5%88%98%E9%8B%B9
元成宗,/wiki/%E5%85%83%E6%88%90%E5%AE%97
慕容垂,/wiki/%E6%85%95%E5%AE%B9%E5%9E%82
齐后主,/wiki/%E9%BD%90%E5%90%8E%E4%B8%BB
韩林儿,/wiki/%E9%9F%A9%E6%9E%97%E5%84%BF
完颜亮,/wiki/%E5%AE%8C%E9%A2%9C%E4%BA%AE
金太宗,/wiki/%E9%87%91%E5%A4%AA%E5%AE%97
清文宗,/wiki/%E6%B8%85%E6%96%87%E5%AE%97
公孙述,/wiki/%E5%85%AC%E5%AD%99%E8%BF%B0
齐武帝,/wiki/%E9%BD%90%E6%AD%A6%E5%B8%9D
秦始皇,/wiki/%E7%A7%A6%E5%A7%8B%E7%9A%87
宋世祖,/wiki/%E5%AE%8B%E5%AD%9D%E6%AD%A6%E5%B8%9D
慕容儁,/wiki/%E6%85%95%E5%AE%B9%E5%84%81
慕容皝,/wiki/%E6%85%95%E5%AE%B9%E7%9A%9D
前蜀高祖,/wiki/%E5%89%8D%E8%9C%80%E9%AB%98%E7%A5%96
刘继元,/wiki/%E5%88%98%E7%BB%A7%E5%85%83
慕容𬀩,/wiki/%E6%85%95%E5%AE%B9%E6%9A%90
朱友贞,/wiki/%E6%A2%81%E6%9C%AB%E5%B8%9D
后金太祖,/wiki/%E5%90%8E%E9%87%91%E5%A4%AA%E7%A5%96
辽太祖,/wiki/%E8%BE%BD%E5%A4%AA%E7%A5%96
金宣宗,/wiki/%E9%87%91%E5%AE%A3%E5%AE%97
金哀宗,/wiki/%E9%87%91%E5%93%80%E5%AE%97
刘曜,/wiki/%E5%88%98%E6%9B%9C
吴睿帝,/wiki/%E6%A5%8A%E6%BA%A5_(%E5%8D%81%E5%9C%8B)
宋度宗,/wiki/%E5%AE%8B%E5%BA%A6%E5%AE%97
明宣宗,/wiki/%E6%98%8E%E5%AE%A3%E5%AE%97
齐文宣帝,/wiki/%E9%BD%90%E6%96%87%E5%AE%A3%E5%B8%9D
元仁宗,/wiki/%E5%85%83%E4%BB%81%E5%AE%97
徐寿辉,/wiki/%E5%BE%90%E5%AF%BF%E8%BE%89
王延钧,/wiki/%E7%8E%8B%E5%BB%B6%E9%92%A7
